,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeftRoll,isWalk
127,-1.28,-3.49,0.28,-95.33,-210.69,-6.72,0 days 00:00:23.247000000,1,1
128,-1.41,-3.59,-0.21,-165.02,-226.58,-29.45,0 days 00:00:23.282000000,1,1
129,-1.72,-3.68,-1.15,-155.8,-201.15,-89.89,0 days 00:00:23.318000000,1,1
130,-1.12,-3.78,-1.7,-81.74,-142.82,-189.86,0 days 00:00:23.800000000,1,1
131,-0.12,-3.65,-1.75,25.22,-97.24,-213.42,0 days 00:00:23.828000000,1,1
132,0.97,-3.69,-1.33,103.8,4.32,-187.54,0 days 00:00:23.852000000,1,1
133,1.42,-3.48,-0.51,109.79,110.46,-116.55,0 days 00:00:24.316000000,1,1
134,2.38,-3.48,0.41,83.68,158.24,-30.17,0 days 00:00:24.345000000,1,1
135,1.54,-2.94,1.76,42.41,229.05,144.79,0 days 00:00:24.373000000,1,1
136,-0.78,-3.35,2.39,-83.6,56.12,243.47,0 days 00:00:24.853000000,1,1
137,-1.39,-3.62,1.41,-152.7,-65.37,114.69,0 days 00:00:24.877000000,1,1
138,-1.25,-3.84,0.57,-105.97,-47.42,16.15,0 days 00:00:24.900000000,1,1
139,-1.35,-4.09,0.42,-5.25,-2.09,-32.98,0 days 00:00:25.415000000,0,1
140,-1.35,-3.64,0.04,39.65,34.0,-24.4,0 days 00:00:25.440000000,0,1
141,-1.22,-3.69,-0.02,9.02,15.62,0.02,0 days 00:00:25.464000000,0,1
142,-1.01,-3.62,0.18,11.31,-1.68,0.79,0 days 00:00:25.979000000,0,1
143,-1.34,-4.31,-0.04,-19.59,-51.08,-13.33,0 days 00:00:26.006000000,0,1
144,-0.96,-3.98,0.64,5.48,-32.85,13.07,0 days 00:00:26.031000000,0,1
145,-1.24,-3.88,0.54,-6.27,-24.23,16.44,0 days 00:00:26.564000000,0,1
146,-0.86,-3.8,0.49,-9.73,-19.6,-12.44,0 days 00:00:26.593000000,0,1
147,-0.76,-3.93,0.48,3.22,14.66,-19.11,0 days 00:00:26.620000000,0,1
