,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isLeft,isWalk
64,-1.03,-3.54,0.22,3.92,-16.46,0.93,0 days 00:00:11.455000000,0,1
65,-0.98,-3.84,0.1,-22.93,-65.71,7.54,0 days 00:00:11.589000000,0,1
66,-0.84,-4.03,0.07,-23.02,-100.03,-1.77,0 days 00:00:11.722000000,0,1
67,-0.87,-3.81,0.21,-26.99,-125.27,-11.85,0 days 00:00:11.999000000,0,1
68,-1.17,-3.59,0.4,-64.08,-146.38,-17.89,0 days 00:00:12.137000000,0,1
69,-0.54,-3.67,0.54,-26.61,-119.57,-15.53,0 days 00:00:12.281000000,0,1
70,-0.89,-4.01,0.63,3.36,-56.56,-0.27,0 days 00:00:12.570000000,0,1
71,-1.26,-3.9,0.11,-2.08,-68.64,-8.12,0 days 00:00:12.722000000,1,1
72,-1.07,-3.97,0.01,-5.39,-122.73,-11.63,0 days 00:00:12.880000000,1,1
73,-0.93,-3.76,0.0,-29.83,-231.08,-32.89,0 days 00:00:13.039000000,1,1
74,-1.11,-3.69,-0.99,6.96,-500.27,-67.05,0 days 00:00:13.200000000,1,1
75,0.65,-4.48,0.65,-27.69,-352.24,42.61,0 days 00:00:13.368000000,1,1
76,0.94,-3.99,1.02,-31.4,-33.88,25.89,0 days 00:00:13.540000000,1,1
77,-0.39,-3.75,-0.02,-21.97,328.76,67.16,0 days 00:00:13.707000000,1,1
78,-1.1,-3.92,0.24,-8.46,60.5,16.12,0 days 00:00:14.146000000,1,1
79,-0.71,-3.99,0.09,1.25,10.96,-20.93,0 days 00:00:14.157000000,1,1
