,AccX,AccY,AccZ,GyoX,GyoY,GyoZ,time,isRight,isWalk
56,-0.96,-3.83,0.55,-11.04,-26.84,5.31,0 days 00:00:10.004000000,0,1
57,-0.74,-3.65,0.52,2.06,-4.0,-14.14,0 days 00:00:10.190000000,0,1
58,-0.37,-4.0,0.39,21.56,44.32,-37.56,0 days 00:00:10.382000000,1,1
59,-0.72,-3.9,0.12,30.75,30.64,-17.22,0 days 00:00:10.590000000,1,1
60,-0.83,-3.67,0.26,13.34,10.44,8.21,0 days 00:00:10.790000000,1,1
61,0.31,-3.59,0.33,2.23,70.93,-5.68,0 days 00:00:10.920000000,1,1
62,-0.84,-4.02,-0.95,15.71,406.11,-36.02,0 days 00:00:11.140000000,1,1
63,-1.7,-3.96,-0.22,31.28,-118.5,8.64,0 days 00:00:11.266000000,1,1
64,-1.02,-3.49,-0.22,-38.29,-305.13,9.85,0 days 00:00:11.428000000,1,1
65,-0.41,-3.76,0.43,1.86,-151.79,5.08,0 days 00:00:11.678000000,1,1
66,-0.57,-4.64,0.51,-29.88,-106.12,5.21,0 days 00:00:11.779000000,1,1
67,-1.0,-3.62,0.23,0.99,-37.05,-14.2,0 days 00:00:12.068000000,1,1
68,-0.94,-4.12,0.03,-21.08,-24.6,18.38,0 days 00:00:12.195000000,0,1
69,-1.0,-3.78,0.07,-9.91,-31.18,3.27,0 days 00:00:12.358000000,0,1
70,-1.34,-3.94,-0.25,-13.01,-82.18,4.63,0 days 00:00:12.631000000,0,1
71,-1.15,-3.75,0.16,-19.51,-82.78,7.92,0 days 00:00:12.732000000,0,1
72,-1.43,-3.69,0.35,-41.88,-126.12,8.34,0 days 00:00:12.959000000,0,1
73,-1.21,-3.91,0.66,-41.45,-121.71,12.78,0 days 00:00:13.056000000,0,1
74,-1.12,-3.84,0.49,-34.26,-90.72,-7.71,0 days 00:00:13.301000000,0,1
75,-1.24,-3.79,0.17,-19.25,-54.82,-11.33,0 days 00:00:13.394000000,0,1
76,-1.55,-3.67,-0.09,-17.34,-74.66,-2.69,0 days 00:00:13.659000000,0,1
77,-1.33,-3.83,-0.05,-20.37,-79.94,-6.4,0 days 00:00:13.755000000,0,1
78,-1.35,-3.61,-0.08,-29.6,-101.59,-8.47,0 days 00:00:14.017000000,0,1
79,-0.96,-3.93,-0.16,-37.04,-126.49,-19.22,0 days 00:00:14.287000000,0,1
80,-1.28,-3.68,0.26,-46.18,-125.69,-11.25,0 days 00:00:14.383000000,0,1
81,-1.18,-3.67,0.29,-58.63,-129.47,-2.31,0 days 00:00:14.477000000,0,1
82,-1.33,-3.88,0.3,-33.34,-74.89,-10.53,0 days 00:00:14.748000000,0,1
83,-1.33,-3.8,0.3,-21.01,-83.19,-8.76,0 days 00:00:14.844000000,0,1
84,-1.22,-3.75,0.39,-5.91,-60.37,-18.24,0 days 00:00:15.121000000,0,1
